Review,Overall_Rating,Cleanliness_Rating,Staff_Rating,Food_Rating,WiFi_Rating,CheckIn_Rating,Guest_Type,Room_Type,Price,Stay_Date
Perfect location and great amenities. Will definitely come back.,4,4,4,5,3,5,Business,Standard,149,2025-09-12
Terrible experience. The room was dirty and smelled bad. Rude management.,1,1,2,1,2,1,Solo,Standard,137,2026-05-27
"Average stay. The room was fine, but the food could be better.",3,4,3,3,3,2,Couple,Standard,107,2026-01-18
Amazing stay! The staff was incredibly friendly and the room was spotless.,5,5,5,5,5,4,Business,Standard,138,2026-04-30
Excellent experience overall. Highly recommend this hotel to anyone.,5,4,5,5,4,5,Business,Deluxe,184,2026-07-25
Loved the food and the Wi-Fi was super fast. Great for my business trip.,4,3,3,3,5,4,Business,Standard,138,2026-06-20
Loved the food and the Wi-Fi was super fast. Great for my business trip.,4,4,5,5,3,5,Couple,Standard,101,2026-04-29
Wi-Fi didn't work at all. Completely unacceptable for a business trip. Noisy neighbors and thin walls.,2,3,1,3,2,1,Family,Standard,109,2025-08-15
Decent hotel for the price. Location is good.,3,2,2,4,3,2,Couple,Deluxe,223,2026-02-17
Decent hotel for the price. Location is good.,3,2,2,4,3,4,Solo,Standard,134,2026-05-24
Perfect location and great amenities. Will definitely come back.,3,5,4,3,2,3,Solo,Deluxe,179,2026-06-16
Way overpriced for what you get. The bed was uncomfortable and noisy. Unfriendly check-in staff.,2,2,3,2,1,3,Family,Suite,294,2026-07-14
Decent hotel for the price. Location is good.,3,2,3,3,2,3,Couple,Suite,280,2025-12-11
Loved the food and the Wi-Fi was super fast. Great for my business trip.,4,5,5,5,3,3,Family,Suite,327,2025-10-20
Check-in was a breeze. Room was comfortable and clean.,4,4,4,5,5,4,Business,Suite,287,2025-11-30
Amazing stay! The staff was incredibly friendly and the room was spotless.,5,5,4,4,5,5,Business,Standard,101,2025-12-12
Loved the food and the Wi-Fi was super fast. Great for my business trip.,4,4,5,5,4,4,Solo,Standard,146,2026-03-18
